country_code,country_name,indicator_code,indicator_name,indicator_label,indicator_type,year,value,dataset_source
AFG,Afghanistan,LP.LPI.CUST.RK,"Efficiency of the clearance process, rank (1=highest performer)",customs_rank,rank,2018,158.0,World Bank LPI
AFG,Afghanistan,LP.LPI.CUST.RK,"Efficiency of the clearance process, rank (1=highest performer)",customs_rank,rank,2023,120.0,World Bank LPI
AFG,Afghanistan,LP.LPI.CUST.XQ,"Efficiency of the clearance process, score (1=low to 5=high)",customs_score,score,2007,1.3,World Bank LPI
AFG,Afghanistan,LP.LPI.CUST.XQ,"Efficiency of the clearance process, score (1=low to 5=high)",customs_score,score,2010,2.223085,World Bank LPI
AFG,Afghanistan,LP.LPI.CUST.XQ,"Efficiency of the clearance process, score (1=low to 5=high)",customs_score,score,2012,2.333617,World Bank LPI
AFG,Afghanistan,LP.LPI.CUST.XQ,"Efficiency of the clearance process, score (1=low to 5=high)",customs_score,score,2014,2.163453,World Bank LPI
AFG,Afghanistan,LP.LPI.CUST.XQ,"Efficiency of the clearance process, score (1=low to 5=high)",customs_score,score,2016,2.011147,World Bank LPI
AFG,Afghanistan,LP.LPI.CUST.XQ,"Efficiency of the clearance process, score (1=low to 5=high)",customs_score,score,2018,1.7349,World Bank LPI
AFG,Afghanistan,LP.LPI.CUST.XQ,"Efficiency of the clearance process, score (1=low to 5=high)",customs_score,score,2023,2.1,World Bank LPI
AFG,Afghanistan,LP.LPI.INFR.RK,"Quality- of trade and transport-related infrastructure, rank (1=highest performer)",infrastructure_rank,rank,2007,150.0,World Bank LPI
AFG,Afghanistan,LP.LPI.INFR.RK,"Quality- of trade and transport-related infrastructure, rank (1=highest performer)",infrastructure_rank,rank,2010,139.0,World Bank LPI
AFG,Afghanistan,LP.LPI.INFR.RK,"Quality- of trade and transport-related infrastructure, rank (1=highest performer)",infrastructure_rank,rank,2012,141.0,World Bank LPI
AFG,Afghanistan,LP.LPI.INFR.RK,"Quality- of trade and transport-related infrastructure, rank (1=highest performer)",infrastructure_rank,rank,2014,158.0,World Bank LPI
AFG,Afghanistan,LP.LPI.INFR.RK,"Quality- of trade and transport-related infrastructure, rank (1=highest performer)",infrastructure_rank,rank,2016,154.0,World Bank LPI
AFG,Afghanistan,LP.LPI.INFR.RK,"Quality- of trade and transport-related infrastructure, rank (1=highest performer)",infrastructure_rank,rank,2018,158.0,World Bank LPI
AFG,Afghanistan,LP.LPI.INFR.RK,"Quality- of trade and transport-related infrastructure, rank (1=highest performer)",infrastructure_rank,rank,2023,139.0,World Bank LPI
AFG,Afghanistan,LP.LPI.INFR.XQ,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",infrastructure_score,score,2007,1.1,World Bank LPI
AFG,Afghanistan,LP.LPI.INFR.XQ,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",infrastructure_score,score,2010,1.873596,World Bank LPI
AFG,Afghanistan,LP.LPI.INFR.XQ,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",infrastructure_score,score,2012,2.003611,World Bank LPI
AFG,Afghanistan,LP.LPI.INFR.XQ,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",infrastructure_score,score,2014,1.818951,World Bank LPI
AFG,Afghanistan,LP.LPI.INFR.XQ,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",infrastructure_score,score,2016,1.835473,World Bank LPI
AFG,Afghanistan,LP.LPI.INFR.XQ,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",infrastructure_score,score,2018,1.807143,World Bank LPI
AFG,Afghanistan,LP.LPI.INFR.XQ,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",infrastructure_score,score,2023,1.7,World Bank LPI
AFG,Afghanistan,LP.LPI.ITRN.RK,"Ease of arranging competitively priced international shipments, rank (1=highest performer)",intl_shipments_rank,rank,2007,150.0,World Bank LPI
AFG,Afghanistan,LP.LPI.ITRN.RK,"Ease of arranging competitively priced international shipments, rank (1=highest performer)",intl_shipments_rank,rank,2010,141.0,World Bank LPI
AFG,Afghanistan,LP.LPI.ITRN.RK,"Ease of arranging competitively priced international shipments, rank (1=highest performer)",intl_shipments_rank,rank,2012,134.0,World Bank LPI
AFG,Afghanistan,LP.LPI.ITRN.RK,"Ease of arranging competitively priced international shipments, rank (1=highest performer)",intl_shipments_rank,rank,2014,156.0,World Bank LPI
AFG,Afghanistan,LP.LPI.ITRN.RK,"Ease of arranging competitively priced international shipments, rank (1=highest performer)",intl_shipments_rank,rank,2016,125.0,World Bank LPI
AFG,Afghanistan,LP.LPI.ITRN.RK,"Ease of arranging competitively priced international shipments, rank (1=highest performer)",intl_shipments_rank,rank,2018,152.0,World Bank LPI
AFG,Afghanistan,LP.LPI.ITRN.RK,"Ease of arranging competitively priced international shipments, rank (1=highest performer)",intl_shipments_rank,rank,2023,139.0,World Bank LPI
AFG,Afghanistan,LP.LPI.ITRN.XQ,"Ease of arranging competitively priced international shipments, score (1=low to 5=high)",intl_shipments_score,score,2007,1.22222,World Bank LPI
AFG,Afghanistan,LP.LPI.ITRN.XQ,"Ease of arranging competitively priced international shipments, score (1=low to 5=high)",intl_shipments_score,score,2010,2.244916,World Bank LPI
AFG,Afghanistan,LP.LPI.ITRN.XQ,"Ease of arranging competitively priced international shipments, score (1=low to 5=high)",intl_shipments_score,score,2012,2.332182,World Bank LPI
AFG,Afghanistan,LP.LPI.ITRN.XQ,"Ease of arranging competitively priced international shipments, score (1=low to 5=high)",intl_shipments_score,score,2014,1.986686,World Bank LPI
AFG,Afghanistan,LP.LPI.ITRN.XQ,"Ease of arranging competitively priced international shipments, score (1=low to 5=high)",intl_shipments_score,score,2016,2.375026,World Bank LPI
AFG,Afghanistan,LP.LPI.ITRN.XQ,"Ease of arranging competitively priced international shipments, score (1=low to 5=high)",intl_shipments_score,score,2018,2.104431,World Bank LPI
AFG,Afghanistan,LP.LPI.ITRN.XQ,"Ease of arranging competitively priced international shipments, score (1=low to 5=high)",intl_shipments_score,score,2023,1.8,World Bank LPI
AFG,Afghanistan,LP.LPI.LOGS.RK,"Competence and quality of logistics services, rank (1=highest performer)",logistics_competence_rank,rank,2007,150.0,World Bank LPI
AFG,Afghanistan,LP.LPI.LOGS.RK,"Competence and quality of logistics services, rank (1=highest performer)",logistics_competence_rank,rank,2010,141.0,World Bank LPI
AFG,Afghanistan,LP.LPI.LOGS.RK,"Competence and quality of logistics services, rank (1=highest performer)",logistics_competence_rank,rank,2012,139.0,World Bank LPI
AFG,Afghanistan,LP.LPI.LOGS.RK,"Competence and quality of logistics services, rank (1=highest performer)",logistics_competence_rank,rank,2014,152.0,World Bank LPI
AFG,Afghanistan,LP.LPI.LOGS.RK,"Competence and quality of logistics services, rank (1=highest performer)",logistics_competence_rank,rank,2016,139.0,World Bank LPI
AFG,Afghanistan,LP.LPI.LOGS.RK,"Competence and quality of logistics services, rank (1=highest performer)",logistics_competence_rank,rank,2018,158.0,World Bank LPI
AFG,Afghanistan,LP.LPI.LOGS.RK,"Competence and quality of logistics services, rank (1=highest performer)",logistics_competence_rank,rank,2023,136.0,World Bank LPI
AFG,Afghanistan,LP.LPI.LOGS.XQ,"Competence and quality of logistics services, score (1=low to 5=high)",logistics_competence_score,score,2007,1.25,World Bank LPI
AFG,Afghanistan,LP.LPI.LOGS.XQ,"Competence and quality of logistics services, score (1=low to 5=high)",logistics_competence_score,score,2010,2.090449,World Bank LPI
AFG,Afghanistan,LP.LPI.LOGS.XQ,"Competence and quality of logistics services, score (1=low to 5=high)",logistics_competence_score,score,2012,2.162592,World Bank LPI
AFG,Afghanistan,LP.LPI.LOGS.XQ,"Competence and quality of logistics services, score (1=low to 5=high)",logistics_competence_score,score,2014,2.119709,World Bank LPI
AFG,Afghanistan,LP.LPI.LOGS.XQ,"Competence and quality of logistics services, score (1=low to 5=high)",logistics_competence_score,score,2016,2.145073,World Bank LPI
AFG,Afghanistan,LP.LPI.LOGS.XQ,"Competence and quality of logistics services, score (1=low to 5=high)",logistics_competence_score,score,2018,1.919246,World Bank LPI
AFG,Afghanistan,LP.LPI.LOGS.XQ,"Competence and quality of logistics services, score (1=low to 5=high)",logistics_competence_score,score,2023,2.0,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.RK,Logistics performance index: Overall rank (1=highest performance),lpi_overall_rank,rank,2007,150.0,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.RK,Logistics performance index: Overall rank (1=highest performance),lpi_overall_rank,rank,2010,143.0,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.RK,Logistics performance index: Overall rank (1=highest performance),lpi_overall_rank,rank,2012,135.0,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.RK,Logistics performance index: Overall rank (1=highest performance),lpi_overall_rank,rank,2014,158.0,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.RK,Logistics performance index: Overall rank (1=highest performance),lpi_overall_rank,rank,2016,150.0,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.RK,Logistics performance index: Overall rank (1=highest performance),lpi_overall_rank,rank,2018,160.0,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.RK,Logistics performance index: Overall rank (1=highest performance),lpi_overall_rank,rank,2023,139.0,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.XQ,Logistics performance index: Overall score (1=low to 5=high),lpi_overall_score,score,2007,1.21166935036926,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.XQ,Logistics performance index: Overall score (1=low to 5=high),lpi_overall_score,score,2010,2.24316,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.XQ,Logistics performance index: Overall score (1=low to 5=high),lpi_overall_score,score,2012,2.297272,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.XQ,Logistics performance index: Overall score (1=low to 5=high),lpi_overall_score,score,2014,2.069573,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.XQ,Logistics performance index: Overall score (1=low to 5=high),lpi_overall_score,score,2016,2.141282,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.XQ,Logistics performance index: Overall score (1=low to 5=high),lpi_overall_score,score,2018,1.948565,World Bank LPI
AFG,Afghanistan,LP.LPI.OVRL.XQ,Logistics performance index: Overall score (1=low to 5=high),lpi_overall_score,score,2023,1.9,World Bank LPI
AFG,Afghanistan,LP.LPI.TIME.RK,"Frequency with which shipments reach consignee within scheduled or expected time, rank (1=highest performer)",timeliness_rank,rank,2007,150.0,World Bank LPI
AFG,Afghanistan,LP.LPI.TIME.RK,"Frequency with which shipments reach consignee within scheduled or expected time, rank (1=highest performer)",timeliness_rank,rank,2010,146.0,World Bank LPI
AFG,Afghanistan,LP.LPI.TIME.RK,"Frequency with which shipments reach consignee within scheduled or expected time, rank (1=highest performer)",timeliness_rank,rank,2012,119.0,World Bank LPI
AFG,Afghanistan,LP.LPI.TIME.RK,"Frequency with which shipments reach consignee within scheduled or expected time, rank (1=highest performer)",timeliness_rank,rank,2014,149.0,World Bank LPI
AFG,Afghanistan,LP.LPI.TIME.RK,"Frequency with which shipments reach consignee within scheduled or expected time, rank (1=highest performer)",timeliness_rank,rank,2016,137.0,World Bank LPI
AFG,Afghanistan,LP.LPI.TIME.RK,"Frequency with which shipments reach consignee within scheduled or expected time, rank (1=highest performer)",timeliness_rank,rank,2018,153.0,World Bank LPI
AFG,Afghanistan,LP.LPI.TIME.RK,"Frequency with which shipments reach consignee within scheduled or expected time, rank (1=highest performer)",timeliness_rank,rank,2023,134.0,World Bank LPI
AFG,Afghanistan,LP.LPI.TIME.XQ,"Frequency with which shipments reach consignee within scheduled or expected time, score (1=low to 5=high)",timeliness_score,score,2007,1.375,World Bank LPI
AFG,Afghanistan,LP.LPI.TIME.XQ,"Frequency with which shipments reach consignee within scheduled or expected time, score (1=low to 5=high)",timeliness_score,score,2010,2.605503,World Bank LPI
AFG,Afghanistan,LP.LPI.TIME.XQ,"Frequency with which shipments reach consignee within scheduled or expected time, score (1=low to 5=high)",timeliness_score,score,2012,2.795259,World Bank LPI
AFG,Afghanistan,LP.LPI.TIME.XQ,"Frequency with which shipments reach consignee within scheduled or expected time, score (1=low to 5=high)",timeliness_score,score,2014,2.482138,World Bank LPI
AFG,Afghanistan,LP.LPI.TIME.XQ,"Frequency with which shipments reach consignee within scheduled or expected time, score (1=low to 5=high)",timeliness_score,score,2016,2.611203,World Bank LPI
AFG,Afghanistan,LP.LPI.TIME.XQ,"Frequency with which shipments reach consignee within scheduled or expected time, score (1=low to 5=high)",timeliness_score,score,2018,2.382438,World Bank LPI
AFG,Afghanistan,LP.LPI.TIME.XQ,"Frequency with which shipments reach consignee within scheduled or expected time, score (1=low to 5=high)",timeliness_score,score,2023,2.3,World Bank LPI
AFG,Afghanistan,LP.LPI.TRAC.RK,"Ability to track and trace consignments, rank (1=highest performer)",tracking_tracing_rank,rank,2007,150.0,World Bank LPI
AFG,Afghanistan,LP.LPI.TRAC.RK,"Ability to track and trace consignments, rank (1=highest performer)",tracking_tracing_rank,rank,2010,128.0,World Bank LPI
AFG,Afghanistan,LP.LPI.TRAC.RK,"Ability to track and trace consignments, rank (1=highest performer)",tracking_tracing_rank,rank,2012,146.0,World Bank LPI
AFG,Afghanistan,LP.LPI.TRAC.RK,"Ability to track and trace consignments, rank (1=highest performer)",tracking_tracing_rank,rank,2014,159.0,World Bank LPI
AFG,Afghanistan,LP.LPI.TRAC.RK,"Ability to track and trace consignments, rank (1=highest performer)",tracking_tracing_rank,rank,2016,155.0,World Bank LPI
AFG,Afghanistan,LP.LPI.TRAC.RK,"Ability to track and trace consignments, rank (1=highest performer)",tracking_tracing_rank,rank,2018,159.0,World Bank LPI
AFG,Afghanistan,LP.LPI.TRAC.RK,"Ability to track and trace consignments, rank (1=highest performer)",tracking_tracing_rank,rank,2023,140.0,World Bank LPI
AFG,Afghanistan,LP.LPI.TRAC.XQ,"Ability to track and trace consignments, score (1=low to 5=high)",tracking_tracing_score,score,2007,1.0,World Bank LPI
AFG,Afghanistan,LP.LPI.TRAC.XQ,"Ability to track and trace consignments, score (1=low to 5=high)",tracking_tracing_score,score,2010,2.365503,World Bank LPI
AFG,Afghanistan,LP.LPI.TRAC.XQ,"Ability to track and trace consignments, score (1=low to 5=high)",tracking_tracing_score,score,2012,2.095155,World Bank LPI
AFG,Afghanistan,LP.LPI.TRAC.XQ,"Ability to track and trace consignments, score (1=low to 5=high)",tracking_tracing_score,score,2014,1.847776,World Bank LPI
AFG,Afghanistan,LP.LPI.TRAC.XQ,"Ability to track and trace consignments, score (1=low to 5=high)",tracking_tracing_score,score,2016,1.772402,World Bank LPI
AFG,Afghanistan,LP.LPI.TRAC.XQ,"Ability to track and trace consignments, score (1=low to 5=high)",tracking_tracing_score,score,2018,1.697024,World Bank LPI
AFG,Afghanistan,LP.LPI.TRAC.XQ,"Ability to track and trace consignments, score (1=low to 5=high)",tracking_tracing_score,score,2023,1.6,World Bank LPI
ALB,Albania,LP.LPI.OVRL.RK.LB,"Logistics performance index: Overall rank (1=highest performance), lower bound",LP.LPI.OVRL.RK.LB,rank,2010,83.0,World Bank LPI
ALB,Albania,LP.LPI.OVRL.RK.LB,"Logistics performance index: Overall rank (1=highest performance), lower bound",LP.LPI.OVRL.RK.LB,rank,2012,47.0,World Bank LPI
ALB,Albania,LP.LPI.OVRL.RK.LB,"Logistics performance index: Overall rank (1=highest performance), lower bound",LP.LPI.OVRL.RK.LB,rank,2016,95.0,World Bank LPI
ALB,Albania,LP.LPI.OVRL.RK.LB,"Logistics performance index: Overall rank (1=highest performance), lower bound",LP.LPI.OVRL.RK.LB,rank,2018,64.0,World Bank LPI
ALB,Albania,LP.LPI.OVRL.RK.UB,"Logistics performance index: Overall rank (1=highest performance), upper bound",LP.LPI.OVRL.RK.UB,rank,2010,145.0,World Bank LPI
ALB,Albania,LP.LPI.OVRL.RK.UB,"Logistics performance index: Overall rank (1=highest performance), upper bound",LP.LPI.OVRL.RK.UB,rank,2012,112.0,World Bank LPI
ALB,Albania,LP.LPI.OVRL.RK.UB,"Logistics performance index: Overall rank (1=highest performance), upper bound",LP.LPI.OVRL.RK.UB,rank,2016,139.0,World Bank LPI
ALB,Albania,LP.LPI.OVRL.RK.UB,"Logistics performance index: Overall rank (1=highest performance), upper bound",LP.LPI.OVRL.RK.UB,rank,2018,115.0,World Bank LPI
ALB,Albania,LP.LPI.OVRL.RK.ZS,Logistics performance index: Percent of highest performer),LP.LPI.OVRL.RK.ZS,rank,2007,34.0,World Bank LPI
ALB,Albania,LP.LPI.OVRL.RK.ZS,Logistics performance index: Percent of highest performer),LP.LPI.OVRL.RK.ZS,rank,2010,47.0,World Bank LPI
ALB,Albania,LP.LPI.OVRL.RK.ZS,Logistics performance index: Percent of highest performer),LP.LPI.OVRL.RK.ZS,rank,2012,57.0,World Bank LPI
ALB,Albania,LP.LPI.OVRL.RK.ZS,Logistics performance index: Percent of highest performer),LP.LPI.OVRL.RK.ZS,rank,2016,44.0,World Bank LPI
ALB,Albania,LP.LPI.OVRL.RK.ZS,Logistics performance index: Percent of highest performer),LP.LPI.OVRL.RK.ZS,rank,2018,52.0,World Bank LPI
ALB,Albania,LP.LPI.OVRL.XQ.LB,"Logistics performance index: Overall score (1=low to 5=high), lower bound",LP.LPI.OVRL.XQ.LB,rank,2010,2.0,World Bank LPI
ALB,Albania,LP.LPI.OVRL.XQ.LB,"Logistics performance index: Overall score (1=low to 5=high), lower bound",LP.LPI.OVRL.XQ.LB,rank,2012,2.0,World Bank LPI
ALB,Albania,LP.LPI.OVRL.XQ.LB,"Logistics performance index: Overall score (1=low to 5=high), lower bound",LP.LPI.OVRL.XQ.LB,rank,2016,2.0,World Bank LPI
ALB,Albania,LP.LPI.OVRL.XQ.LB,"Logistics performance index: Overall score (1=low to 5=high), lower bound",LP.LPI.OVRL.XQ.LB,rank,2018,2.0,World Bank LPI
ALB,Albania,LP.LPI.OVRL.XQ.UB,"Logistics performance index: Overall score (1=low to 5=high), upper bound",LP.LPI.OVRL.XQ.UB,rank,2010,3.0,World Bank LPI
ALB,Albania,LP.LPI.OVRL.XQ.UB,"Logistics performance index: Overall score (1=low to 5=high), upper bound",LP.LPI.OVRL.XQ.UB,rank,2012,3.0,World Bank LPI
ALB,Albania,LP.LPI.OVRL.XQ.UB,"Logistics performance index: Overall score (1=low to 5=high), upper bound",LP.LPI.OVRL.XQ.UB,rank,2016,3.0,World Bank LPI
ALB,Albania,LP.LPI.OVRL.XQ.UB,"Logistics performance index: Overall score (1=low to 5=high), upper bound",LP.LPI.OVRL.XQ.UB,rank,2018,3.0,World Bank LPI
ALB,Albania,LP.LPI.CUST.RK,"Efficiency of the clearance process, rank (1=highest performer)",customs_rank,rank,2007,132.0,World Bank LPI
ALB,Albania,LP.LPI.CUST.RK,"Efficiency of the clearance process, rank (1=highest performer)",customs_rank,rank,2010,129.0,World Bank LPI
ALB,Albania,LP.LPI.CUST.RK,"Efficiency of the clearance process, rank (1=highest performer)",customs_rank,rank,2012,86.0,World Bank LPI
ALB,Albania,LP.LPI.CUST.RK,"Efficiency of the clearance process, rank (1=highest performer)",customs_rank,rank,2016,121.0,World Bank LPI
ALB,Albania,LP.LPI.CUST.RK,"Efficiency of the clearance process, rank (1=highest performer)",customs_rank,rank,2018,114.0,World Bank LPI
ALB,Albania,LP.LPI.CUST.RK,"Efficiency of the clearance process, rank (1=highest performer)",customs_rank,rank,2023,90.0,World Bank LPI
ALB,Albania,LP.LPI.CUST.XQ,"Efficiency of the clearance process, score (1=low to 5=high)",customs_score,score,2007,2.0,World Bank LPI
ALB,Albania,LP.LPI.CUST.XQ,"Efficiency of the clearance process, score (1=low to 5=high)",customs_score,score,2010,2.071429,World Bank LPI
ALB,Albania,LP.LPI.CUST.XQ,"Efficiency of the clearance process, score (1=low to 5=high)",customs_score,score,2012,2.426877,World Bank LPI
ALB,Albania,LP.LPI.CUST.XQ,"Efficiency of the clearance process, score (1=low to 5=high)",customs_score,score,2016,2.234391,World Bank LPI
ALB,Albania,LP.LPI.CUST.XQ,"Efficiency of the clearance process, score (1=low to 5=high)",customs_score,score,2018,2.347126,World Bank LPI
ALB,Albania,LP.LPI.CUST.XQ,"Efficiency of the clearance process, score (1=low to 5=high)",customs_score,score,2023,2.4,World Bank LPI
ALB,Albania,LP.LPI.INFR.RK,"Quality- of trade and transport-related infrastructure, rank (1=highest performer)",infrastructure_rank,rank,2007,78.0,World Bank LPI
ALB,Albania,LP.LPI.INFR.RK,"Quality- of trade and transport-related infrastructure, rank (1=highest performer)",infrastructure_rank,rank,2010,112.0,World Bank LPI
ALB,Albania,LP.LPI.INFR.RK,"Quality- of trade and transport-related infrastructure, rank (1=highest performer)",infrastructure_rank,rank,2012,99.0,World Bank LPI
ALB,Albania,LP.LPI.INFR.RK,"Quality- of trade and transport-related infrastructure, rank (1=highest performer)",infrastructure_rank,rank,2016,148.0,World Bank LPI
ALB,Albania,LP.LPI.INFR.RK,"Quality- of trade and transport-related infrastructure, rank (1=highest performer)",infrastructure_rank,rank,2018,110.0,World Bank LPI
ALB,Albania,LP.LPI.INFR.RK,"Quality- of trade and transport-related infrastructure, rank (1=highest performer)",infrastructure_rank,rank,2023,68.0,World Bank LPI
ALB,Albania,LP.LPI.INFR.XQ,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",infrastructure_score,score,2007,2.33333,World Bank LPI
ALB,Albania,LP.LPI.INFR.XQ,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",infrastructure_score,score,2010,2.144558,World Bank LPI
ALB,Albania,LP.LPI.INFR.XQ,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",infrastructure_score,score,2012,2.426877,World Bank LPI
ALB,Albania,LP.LPI.INFR.XQ,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",infrastructure_score,score,2016,1.980952,World Bank LPI
ALB,Albania,LP.LPI.INFR.XQ,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",infrastructure_score,score,2018,2.293674,World Bank LPI
ALB,Albania,LP.LPI.INFR.XQ,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",infrastructure_score,score,2023,2.7,World Bank LPI
